surprise
volcano
friendly
therapeutic
nostalgic
resonant
aberrant
enormous
society
dependent
maddening
telephone
necessary
freezing
wretched
describe
assorted
ugliest
abashed
horrible
languid
valuable
expansion
unwieldy
previous
mountain
pollution
well-groomed
rightful
separate
nervous
forgetful
wandering
elderly
entertaining
decision
creature
knowledgeable
cherries
vivacious
decorate
welcome
scrawny
literate
scientific
youthful
obedient
striped
exciting
meeting
unsuitable
nonchalant
whimsical
interesting
mindless
historical
glistening
unkempt
cushion
inquisitive
vengeful
bizarre
payment
colossal
fanatical
serious
rambunctious
mess up
boundary
unbiased
pointless
diligent
changeable
imaginary
friends
permissible
loutish
heartbreaking
finicky
numberless
interest
pathetic
dysfunctional
waiting
elastic
produce
distinct
calendar
kittens
synonymous
abrasive
activity
oranges
harmony
spiders
subdued
texture
magnificent
brother
whistle
delight
quickest
discover
oatmeal
disastrous
discovery
cabbage
obeisant
confused
tasteful
fallacious
damaging
reflective
rainstorm
handsomely
territory
disagreeable
argument
abstracted
calculating
opposite
disappear
destruction
minister
popcorn
respect
embarrassed
psychedelic
internal
sisters
furniture
dramatic
satisfy
command
peaceful
chemical
practise
voiceless
spotted
stocking
applaud
rejoice
extra-large
simplistic
strange
barbecue
bread basket
cake slice
champagne cooler
chest freezer
coffee machine
corkscrew
dishwasher
egg-cup
extractor hood
kitchen scales
meat fork
microwave
oven glove
pepper mill
pressure cooker
rolling pin
scissors
steak hammer
toaster
waffle-iron
Acid rain
Aerosol sprays
was affected
had been ailing
atmosphere
balance
biodegradable
biodiversity
biosphere
carbon dioxide
Carbon monoxide
catalytic converters
Catastrophe
chop down
climate
coastal waters
Cooling agents
contaminated
creature
destroyed
destruction
detergents
diminish
disappeared
disaster
disposal
Drought
dumping grounds
earthquake
ecology
ecosystem
emissions
were emitted
endangered
Energy conservation
energy sources
Energy-efficient
environment
Environmentalists
erosion
evolution
exhaust fumes
exposed to
extinct
factory farming
Fertile
Fertilizers
Trawlers
toxic fumes
geothermal
global warming
greenhouse effect
hardest hit
harmful
heat wave
heavy metal
hydrocarbons
Industrial waste
insulation
are loaded
marine life
menaced
natural gas
oil slicks
Overfertilization
ozone laye
permission
poisonous
pollution
Power stations
precipitation
preservation
prevention
protect
Radiation
rainforests
recycled
Remedial
renewable
reusable
sea level
sewage plant
solvents
Starvation
stratosphere
surface
threaten
toxic waste
toxic waste dump
Trawlers
Unleaded
untreatened
urabanization
waste heat
waste paper
waste separation
Wind energy
windfarms
