football
handball
basketball
Archery
Billiards
Bobsleigh
Bowling
Canoe Slalom
Climbing
Cycling
Dancing
Downhill Skiing
Endourance course
Fencing
Skating
Fishing
Formula 1
Gliding
Gymnastics
Hammer Throwing
Hang-gliding
High jump
Hunting
Hurdle Race
Ice Hockey
Javelin
Jogging
long distance run
Long jump
Pentathlon
Motorsports
Mountaineering
Netball
Nordic Combined
Orienteering
Paintball
Parachuting
Pole Vault
Rhythmic
Gymnastics
Riding
Equestrian
Skipping
Running
Sailing
Shooting
Shot put
Skateboarding
Skating
Jumping
Snowboarding
Soccer Footbal
Skating
Surfing
Swimming
Aquatics
tug-of-war
Walking
Water Polo
Waterski
Lifting
Windsurfing
Wrestling
