Albatros
Alligator
Anaconda
Antilope
Autruche
Aye-aye
Babouin
Baleine
Belette
Blaireau
Bouquetin
Cachalot
Campagnol
Capucin
Capybara
Caracal
Carcajou
Caribou
Chameau
Chamois
Chauve-souris
Chevreuil
Chinchilla
Chouette
Civette
Coccinelle
Crocodile
Dauphin
Dromadaire
Epaulard
Escargot
Espadon
Flamant rose
Fourmilier
Gazelle
Genette
Gerbille
Gerboise
Glouton
Gorille
Grenouille
Grizzly
Guanaco
Hamster
Hermine
Hippocampe
Hippopotame
Hirondelle
Kangourou
Lamantin
Lemming
Lophophore
Lycaons
Macaque
Mandrill
Mangouste
Marmotte
Marsouin
Moufette
Mouflon
Musaraigne
Muscardin
Nasique
Noctule
Octodon
Oppossum
Ornithorynque
Ouistiti
Pangolin
Paresseux
Perroquet
Pingouin
Pipistrelles
Poisson
Polatouche
Poussin
Quetzal
Quiscale
Ragondin
Requin bleine
Roussette
Salamandre
Sanglier
Serpent
Springbok
Suricate
Tamandua
Tamanoir
Tamarin
Tarsier
Taureau
Vautour
Wallaby
Watussi
Zibeline
Zorille
